Name,Location,Price,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage,Engine,Power,Seats,Brand,Model,Age,Country
Maruti Wagon R LXI CNG,Mumbai,2682.68,2010,72000,CNG,Manual,First,26.6,998,58.16,5.0,Maruti,Wagon R LXI CNG,14,India
Hyundai Creta 1.6 CRDi SX Option,Pune,19162.0,2015,41000,Diesel,Manual,First,19.67,1582,126.2,5.0,Hyundai,Creta 1.6 CRDi SX Option,9,South Korea
Honda Jazz V,Chennai,6898.32,2011,46000,Petrol,Manual,First,18.2,1199,88.7,5.0,Honda,Jazz V,13,Japan
Maruti Ertiga VDI,Chennai,9197.76,2012,87000,Diesel,Manual,First,20.77,1248,88.76,7.0,Maruti,Ertiga VDI,12,India
Audi A4 New 2.0 TDI Multitronic,Coimbatore,27194.71,2013,40670,Diesel,Automatic,Second,15.2,1968,140.8,5.0,Audi,A4 New 2.0 TDI Multitronic,11,Germany
Hyundai EON LPG Era Plus Option,Hyderabad,3602.46,2012,75000,LPG,Manual,First,21.1,814,55.2,5.0,Hyundai,EON LPG Era Plus Option,12,South Korea
Nissan Micra Diesel XV,Jaipur,5365.36,2013,86999,Diesel,Manual,First,23.08,1461,63.1,5.0,Nissan,Micra Diesel XV,11,Japan
Toyota Innova Crysta 2.8 GX AT 8S,Mumbai,26826.8,2016,36000,Diesel,Automatic,First,11.36,2755,171.5,8.0,Toyota,Innova Crysta 2.8 GX AT 8S,8,Japan
Volkswagen Vento Diesel Comfortline,Pune,7971.39,2013,64430,Diesel,Manual,First,20.54,1598,103.6,5.0,Volkswagen,Vento Diesel Comfortline,11,Germany
Tata Indica Vista Quadrajet LS,Chennai,2989.27,2012,65932,Diesel,Manual,Second,22.3,1248,74.0,5.0,Tata,Indica Vista Quadrajet LS,12,India
Maruti Ciaz Zeta,Kochi,15252.95,2018,25692,Petrol,Manual,First,21.56,1462,103.25,5.0,Maruti,Ciaz Zeta,6,India
Honda City 1.5 V AT Sunroof,Kolkata,6882.99,2012,60000,Petrol,Automatic,First,16.8,1497,116.3,5.0,Honda,City 1.5 V AT Sunroof,12,Japan
