Price,Age,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Seats,Brand,Model
7071840,9,25000,petrol,automatic,1,5,Maruti,Suzuki Celerio ZXI AMT ABS
5598540,10,29000,petrol,manual,2,5,Hyundai,i10 magna 1.1
5647650,13,72000,petrol,manual,3,5,Maruti,Suzuki Swift ZXI
6138750,11,36000,petrol,manual,1,5,Hyundai,i10 Sportz(O) 1.2 Petrol
6089640,6,29000,petrol,automatic,3,5,Renault,Kwid CLIMBER 1.0 AMT
8496030,3,20000,petrol,manual,1,5,Maruti,Suzuki Eeco AC 5 STR
7399240,11,31000,petrol,manual,1,5,Hyundai,Grand i10 Asta 1.2 Kappa VTVT
7710270,10,42000,petrol,manual,1,5,Hyundai,Grand i10 Asta 1.2 Kappa VTVT (O)
8496030,9,74000,petrol,manual,2,5,Ford,EcoSport Titanium 1.0L Ecoboost
6187860,12,43000,petrol,manual,1,5,Maruti,Suzuki Swift LXI
3093930,10,48000,petrol,manual,1,4,Tata,Nano Twist XT Petrol
9461860,10,27000,petrol,manual,1,7,Honda,Mobilio V (O) Petrol
8708840,6,21000,petrol,manual,1,5,Honda,Brio S(O)MT
7317390,4,33000,petrol,automatic,3,5,Renault,Kwid CLIMBER 1.0 AMT Opt
4076130,7,34000,petrol,automatic,2,4,Tata,Nano Twist XTA Petrol
5647650,11,40000,petrol,manual,1,5,Maruti,Suzuki Wagon R 1.0 LXI
5876830,4,11000,petrol,manual,1,5,Maruti,Suzuki Alto 800 LXI
5434840,6,14000,petrol,manual,1,5,Maruti,Suzuki Alto 800 LXI
6253340,9,44000,petrol,manual,1,5,Maruti,Suzuki Wagon R 1.0 VXI
6302450,8,44000,petrol,automatic,1,5,Renault,Kwid 1.0 RXT AMT
8790690,7,31000,petrol,manual,3,5,Hyundai,Elite i20 Sportz 1.2
5058330,8,41000,petrol,manual,2,5,Renault,Kwid RXT
6367930,13,36000,petrol,manual,1,5,Maruti,Suzuki Swift VXI
9363640,3,46000,petrol+cng,manual,1,5,Maruti,Suzuki Wagon R 1.0 LXI (O) CNG
8823430,2,18000,petrol,manual,1,5,Renault,Kwid Climber 1.0l SCE Petrol MT
